"আইসিসি ওয়ানডে সুপার লিগে শ্রীলঙ্কার বিরুদ্ধে জয় পেল বাংলাদেশ","খেলার সময় ডেস্ক","২৪-০৫-২০২১, ১৫:২৪","শ্রীলঙ্কা, বাংলাদেশ ক্রিকেট, বাংলাদেশ, ক্রিকেট, বাংলাদেশ, পেল, জয়, বিরুদ্ধে, শ্রীলঙ্কার, লিগে, সুপার, ওয়ানডে, আইসিসি, ","আইসিসি ওয়ানডে সুপার লিগে এখনো কোনো পয়েন্ট পায়নি শ্রীলঙ্কা। মিরপুরে প্রথম ওয়ানডেতে জয়ের জন্য তাদের লক্ষ্য ২৫৮। গুনাথিলাকা আর কুশল পেরেরার ওপেনিং জুটির স্থায়িত্ব বেশিক্ষণ হয়নি। পঞ্চম ওভারে ব্রেক থ্রু এনে দেন মিরাজ। আইপিএল ফেরত মোস্তাফিজের শিকার পাথুম... ","আইসিসি ওয়ানডে সুপার লিগে এখনো কোনো পয়েন্ট পায়নি শ্রীলঙ্কা। মিরপুরে প্রথম ওয়ানডেতে জয়ের জন্য তাদের লক্ষ্য ২৫৮। গুনাথিলাকা আর কুশল পেরেরার ওপেনিং জুটির স্থায়িত্ব বেশিক্ষণ হয়নি। পঞ্চম ওভারে ব্রেক থ্রু এনে দেন মিরাজ। আইপিএল ফেরত মোস্তাফিজের শিকার পাথুম নিশাঙ্কা।

মেন্ডিস পেরেরার জুটি বড় হতে থাকে। তবে সাকিব আল হাসান সেই জুটি ভেঙে দলকে স্বস্তি এনে দেওয়ার সঙ্গে স্পর্শ করেন স্বীকৃত ক্রিকেটে হাজার উইকেটের মাইলফলক।

২০ রানের ব্যবধানে ৩ উইকেট তুলে নিয়ে ম্যাচ বাংলাদেশের মুঠোয় এনে দেন মেহেদী মির্জা। ১০২ রান তুলতেই নেই শ্রীলঙ্কার ৬ উইকেট। অপেক্ষা তখন বাংলাদেশের জয়ের।

তবে সেখান থেকে ধীরে ধীরে লক্ষ্যের দিকে এগিয়ে যেতে থাকে সফরকারীরা। দলীয় ১৪৯ রানে শানাকা ফিরে যান সাইফউদ্দিনের বলে। তখনো জয়ের জন্য দরকার ১০৯ রান। হাসারাঙ্গা ডি সিলভা ফিফটি তুলে নিয়ে হয়ে থাকেন বাংলাদেশের গলার কাঁটা।

বাংলাদেশের জয়ের অপেক্ষা দীর্ঘ হতো না, যদি না ব্যক্তিগত ৬৩ রানে হাসারাঙ্গার ক্যাচ মিস করতেন লিটন দাস। তবে সেই আক্ষেপ দীর্ঘ হয়নি। দলীয় ২১১ রানে হাসারাঙ্গাকে ফিরিয়ে ব্রেক থ্রু এনে দেন সাইফউদ্দিন।

১৩ রানের মধ্যেই মোস্তাফিজ শেষ ২ উইকেট তুলে নিলে, সব ফরম্যাট মিলে ১০ ম্যাচ পর বাংলাদেশ পায় ৩৩ রানের স্বস্তির জয়।

এর আগে টস জিতে ব্যাটিংয়ে নামা বাংলাদেশের শুরুটা ভালো হয়নি। ব্যর্থতার বলয়ে ঘুরছেন লিটন, আউট হন শূন্য রানে। মন্থর খেলা সাকিব ৩৪ বলে করেন ১৫ রান।

ওয়ানডে ক্যারিয়ারের ৫১তম ফিফটি তুলে তামিম আউট হন ৫২ রানে। দলের বোঝা বাড়ে পরের বলেই মিঠুন আউট হলে।

সেখান থেকে দলকে লড়াকু স্কোর এনে দেয়ার কৃতিত্ব মুশফিক ও মাহমুদউল্লাহর। ৫ উইকেটে তারা যোগ করেন ১০৯ রান। সেঞ্চুরির সম্ভাবনা ছিল মুশফিকের। কিন্তু আক্ষেপ বাড়িয়ে ৮৪ রানে আউট হন মিস্টার ডিপেন্ডেবল।

মাহমুদউল্লাহও ফিফটির পর ইনিংস বড় করতে পারেননি। শেষ দিকে আফিফের ক্যামিওতে বাংলাদেশ পায় আড়াইশ’ ছাড়ানো স্কোর। সিরিজে এগিয়ে যেতে সেই স্কোরই যথেষ্ট ছিল টাইগারদের। এই জয়ে আইসিসি ওয়ানডে সুপার লিগের পয়েন্ট টেবিলে চতুর্থ স্থানে উঠে এসেছে টাইগাররা। বাংলাদেশ দলকে অভিনন্দন জানিয়েছেন প্রধানমন্ত্রী শেখ হাসিনা।",https://www.somoynews.tv/pages/details/280265,5,False
"টি-টোয়েন্টি বিশ্বকাপে আমিরকে দলে চান আকরাম","খেলার সময় ডেস্ক","২৪-০৫-২০২১, ১২:০৬","মোহাম্মদ আমির, পাকিস্তান ক্রিকেট, টি টোয়েন্টি, ওয়াসিম আকরাম, আকরাম, চান, দলে, আমিরকে, বিশ্বকাপে, টি-টোয়েন্টি, ","টিম ম্যানেজমেন্টের সঙ্গে মতের মিল না হওয়া, মানসিক নির্যাতন আর নানা চাপের অভিযোগ এনে আন্তর্জাতিক ক্রিকেটকে বিদায় জানিয়েছিলেন পাকিস্তানের পেসার মোহাম্মদ আমির। অবসরের পর পাকিস্তান ক্রিকেট বোর্ডের দিকে অভিযোগের তীর ছিল তার। 

অবসরের পর আমির জানিয়েছিলেন, বর্তমান... ","টিম ম্যানেজমেন্টের সঙ্গে মতের মিল না হওয়া, মানসিক নির্যাতন আর নানা চাপের অভিযোগ এনে আন্তর্জাতিক ক্রিকেটকে বিদায় জানিয়েছিলেন পাকিস্তানের পেসার মোহাম্মদ আমির। অবসরের পর পাকিস্তান ক্রিকেট বোর্ডের দিকে অভিযোগের তীর ছিল তার। 

অবসরের পর আমির জানিয়েছিলেন, বর্তমান টিম ম্যানেজমেন্টের অধীনে খেলা সম্ভব নয়। কখনো পরিবর্তন হলে তবেই দলে ফেরা সম্ভব। 

তবে ভারতে অনুষ্ঠেয় আসন্ন টি-টোয়েন্টি বিশ্বকাপের পাকিস্তান দলে আমিরকে চান ওয়াসিম আকরাম।

আকরাম বলেন, 'আমির অভিজ্ঞ বোলার এবং টি-টোয়েন্টিতে বিশ্বের অন্যতম সেরা। আমি মনে করি টি-টোয়েন্টি বিশ্বকাপে পাকিস্তান দলে তার থাকা উচিত। বিশ্বকাপের মতো আসরে অভিজ্ঞ বোলারদের দরকার।'

২০১৯ সালে মাত্র ২৭ বছর বয়সে টেস্ট ক্রিকেটকে বিদায় বলেন আমির। মূলত ওয়ানডে ও টি-টোয়েন্টিতে নিয়মিত হতেই এমন সিদ্ধান্ত নিয়েছিলেন বলে জানিয়েছিলেন বাঁহাতি এই পেসার। 

টেস্ট ক্রিকেটকে বিদায় দিয়ে বেশ সমালোচনায় পড়েন আমির। তবে এ বিষয়ে ওয়াসিম আকরাম মনে করেন টেস্টে না থাকলেও অন্য ফরমেটে তার সুযোগ পাওয়া উচিত।

টি-টোয়েন্টি বিশ্বকাপের আগে সংক্ষিপ্ত ফরমেটের সিরিজ খেলতে ইংল্যান্ড সফরে যাবে পাকিস্তান। এই সিরিজ দিয়ে পাকিস্তানকে বিশ্বকাপের দল গোছানোর পরামর্শ দিয়েছেন আকরাম। ",https://www.somoynews.tv/pages/details/280230,5,False
"ইনিংস বড় করতে পারলেন না সাকিব","খেলার সময় ডেস্ক","২৩-০৫-২০২১, ১৪:৩৪","সাকিব আল হাসান, শ্রীলঙ্কা, বাংলাদেশ ক্রিকেট, ক্রিকেট, সাকিব, না, পারলেন, করতে, বড়, ইনিংস, ","টস জিতে ব্যাটিংয়ে নেমে শুরুতেই ধাক্কা খেয়েছে বাংলাদেশ। দ্বিতীয় ওভারের তৃতীয় বলে দুশমন্ত চামিরার বলে স্লিপে ক্যাচ দিয়েছেন লিটন। ধনঞ্জয়া ডি সিলভার হাতে ধরা পড়ে বিদায় নেন লিটন। 

লিটনের বিদায়ের পর তামিমের সঙ্গে জুটি বাঁধতে উইকেটে আসেন সাকিব আল হাসান। শুরুর... ","টস জিতে ব্যাটিংয়ে নেমে শুরুতেই ধাক্কা খেয়েছে বাংলাদেশ। দ্বিতীয় ওভারের তৃতীয় বলে দুশমন্ত চামিরার বলে স্লিপে ক্যাচ দিয়েছেন লিটন। ধনঞ্জয়া ডি সিলভার হাতে ধরা পড়ে বিদায় নেন লিটন। 

লিটনের বিদায়ের পর তামিমের সঙ্গে জুটি বাঁধতে উইকেটে আসেন সাকিব আল হাসান। শুরুর ধাক্কা কাটিয়ে ওঠার চেষ্টা করেন এই দুই ব্যাটসম্যান। ধীরগতিতে দেখেশুনে খেলছিলেন সাকিব–তামিম। কিন্তু বেশিদূর এগোতে পারেনি এই জুটি। ৩৮ রান তোলার পর ভেঙেছে জুটি। গুনাতিলকার বলে সহজ ক্যাচ দিয়ে ৩৪ বলে ১৫ রান করে ফিরে গেছেন সাকিব। 

আরও পড়ুন: প্রথম বাংলাদেশি হিসেবে যে মাইলফলক গড়লেন তামিম

সাকিবের বিদায়ের পর তামিমকে সঙ্গ দিচ্ছেন মুশফিকুর রহিম। এই প্রতিবেদন লেখা পর্যন্ত স্বাগতিকদের সংগ্রহ ২০ ওভারে ২ উইকেটে ৭৮ রান। তামিম অপরাজিত আছেন ৪২ রানে। অন্যপ্রান্তে মুশফিক খেলছেন ১৬ রান নিয়ে। 

এর আগে লঙ্কান শিবিরে করোনার হানা দেয়। ফলে ম্যাচ মাঠ গড়ানো নিয়ে দেখা দেয় অনিশ্চয়তা। তবে সব নাটকীয়তা কাটিয়ে সময়মতোই মাঠে গড়িয়েছে প্রথম ওয়ানডে। ",https://www.somoynews.tv/pages/details/280094,5,False
"সৌদি সফর পেছাল বাংলাদেশ ফুটবল দলের","খেলার সময় ডেস্ক","২৪-০৫-২০২১, ১০:৪৫","বিশ্বকাপ বাছাই, বাতিল, বাংলাদেশ ফুটবল, ফুটবল, দলের, ফুটবল, বাংলাদেশ, পেছাল, সফর, সৌদি, ","কাতারে বিশ্বকাপ বাছাই ম্যাচ সামনে রেখে সৌদি আরবে কন্ডিশনিং ক্যাম্পের উদ্দেশে রওনা দেওয়ার কথা থাকলেও কোয়ারেন্টাইন জটিলতায় যাওয়া হচ্ছে না বাংলাদেশ ফুটবল দলের।

আফগানিস্তান, ভারত ও ওমানের বিপক্ষে তিনটি ম্যাচের আগে প্রস্তুতির জন্য সোমবার (২৪ মে) সৌদি আরব যাওয়ার... ","কাতারে বিশ্বকাপ বাছাই ম্যাচ সামনে রেখে সৌদি আরবে কন্ডিশনিং ক্যাম্পের উদ্দেশে রওনা দেওয়ার কথা থাকলেও কোয়ারেন্টাইন জটিলতায় যাওয়া হচ্ছে না বাংলাদেশ ফুটবল দলের।

আফগানিস্তান, ভারত ও ওমানের বিপক্ষে তিনটি ম্যাচের আগে প্রস্তুতির জন্য সোমবার (২৪ মে) সৌদি আরব যাওয়ার কথা ছিল বাংলাদেশ জাতীয় ফুটবল দলের। কিন্তু আপাতত সৌদি-যাত্রা হচ্ছে না জাতীয় দলের। কোয়ারেন্টাইন শিথিল করার বিষয়ে এখনো সৌদি আরব থেকে সবুজ সংকেত না পাওয়াই এর কারণ বলে জানিয়েছে বাংলাদেশ ফুটবল ফেডারেশন।

বাফুফে এক সংবাদ বিজ্ঞপ্তিতে জানিয়েছে, 'সৌদি আরবে কোয়ারেন্টাইন শিথিল সংক্রান্ত কাগজপত্র হাতে না পাওয়ায় জাতীয় ফুটবল দলের সৌদি আরব সফরের সময়সূচি পরিবর্তন করা হয়েছে। এ ব্যাপারে বিস্তারিত পরিকল্পনা সম্পর্কে পরে জানানো হবে।'

বিশ্বকাপ ও এশিয়ান কাপের বাছাইপর্বের বাকি তিনটি ম্যাচ অনুষ্ঠিত হবে কাতারে।",https://www.somoynews.tv/pages/details/280225,5,False
